,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,MontoRetInv,MontoRetMuerte,MontoRetVol,NumPartInv,NumPartMuertos,NumPartRet,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPenInv,PagoPrimPenRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,418050287.893,25044716.8106,2.7834531381e-21,1.89754801546e-29,0.0,0.0,1554345.27974,58342381.3783,575836062.174,6451086.30489,457373862.868,1.0,59953326.6748,305886.241657,593735840.283,0.0,0.0,0.0,2.0,2.0,0.0,371.0,4.0,497859555.847,4974244.9911,125620005.452,0.0,0.0,1610945.29644,17899778.109,1476841.31378,331753857.415,543301274.655,54589950223.7,3945437328.02,25044716.8106,11.0
0,422465455.24,25350143.3505,6.81799681958e-31,1.43129983656e-28,0.0,77460602.2101,1531653.46786,3484984.24223,528778842.724,7174284.31989,69503335.6151,1.0,3582700.30776,13028098.9283,544996789.194,0.0,0.0,0.0,1.0,4.0,0.0,378.0,9.0,503163593.921,6752454.12085,146963937.825,0.0,0.0,97716.0655299,16217946.4706,421830.199044,0.0,524306042.956,60566951854.1,4551613311.66,25350143.3505,12.0
0,434286812.753,26088113.3872,754376.187633,2.00933711444e-29,255495.663216,0.0,1548120.05071,0.0,529879958.231,6768668.8459,287638846.692,1.0,0.0,5426776.11881,546147418.929,0.0,0.0,0.0,0.0,6.0,0.0,379.0,12.0,517275197.91,7024164.50911,166738946.154,0.0,0.0,0.0,16267460.699,0.0,120899900.538,513174351.328,66696596460.2,5112520816.73,26088113.3872,13.0
0,444377624.544,26700042.8866,645733.790442,5.41871074745e-29,104686.149779,0.0,1580070.49824,0.0,569061322.224,7097892.13787,327824542.303,1.0,0.0,6394703.85283,586511698.659,0.0,0.0,0.0,0.0,6.0,0.0,387.0,15.0,529300749.922,7202578.28765,186851376.961,0.0,0.0,0.0,17450376.4352,0.0,140973165.341,519600729.221,72626644568.8,5665980923.5,26700042.8866,14.0
0,443638924.191,26654763.775,5.48812106869e-31,4.57674772328e-29,373887.491717,0.0,1578542.28589,3635266.30051,508692282.976,7011636.28443,262793851.411,1.0,3740733.92015,1460301.71154,524574853.465,0.0,0.0,0.0,1.0,6.0,0.0,365.0,17.0,528419874.119,7385523.77615,208449741.054,0.0,0.0,105467.61964,15882570.4893,0.0,54344110.3577,523791153.694,79170761880.0,6252448693.37,26654763.775,15.0
0,458586279.658,27535791.617,1206058.85583,3.21244417558e-29,0.0,158478060.946,1646967.89979,0.0,584992154.446,10968116.6017,71268814.1713,1.0,0.0,84344.730918,602951156.478,0.0,0.0,0.0,0.0,1.0,0.0,412.0,16.0,546204574.466,7681262.57725,229746875.117,0.0,0.0,0.0,17959002.0314,3286854.02447,0.0,564290595.474,84563432665.4,6775527582.06,27535791.617,16.0
0,462490951.004,27772160.2953,1.69250000463e-28,1.19498169691e-25,561336.687766,0.0,1658258.71466,12375280.0223,680319003.951,7315029.95894,721632799.769,1.0,12728084.2889,4077443.07167,701432591.31,0.0,0.0,0.0,2.0,5.0,0.0,380.0,18.0,550857428.427,7876366.64671,253096169.402,0.0,0.0,352804.266604,21113587.3591,0.0,468536630.367,560762880.845,91469293902.2,7398475291.27,27772160.2953,17.0
0,459189925.343,27645756.2933,6.75987312821e-31,3.12684550883e-28,0.0,0.0,1579857.50639,13877627.0059,549342706.955,8592758.12321,713977753.983,1.0,14266692.9629,3780415.96435,566300411.616,0.0,0.0,0.0,2.0,3.0,0.0,383.0,22.0,547006383.861,8438191.85451,280008989.046,0.0,0.0,389065.956956,16957704.6607,154566.268701,433968764.936,527213272.726,98447723299.5,8102224191.84,27645756.2933,18.0
0,476827457.974,28722801.8024,5.89283621417e-31,8.65798192904e-18,461994.347611,0.0,1626287.23055,8691392.1819,606471201.838,8589475.81227,353985483.95,1.0,8939160.45375,975360.959205,625009526.553,0.0,0.0,0.0,1.0,2.0,0.0,417.0,26.0,568033999.749,9051470.15988,303757038.729,0.0,0.0,247768.271847,18538324.7154,0.0,50228445.2201,540812761.82,1.04439680988e+11,8661798451.54,28722801.8024,19.0
0,472316076.695,28436389.4714,5.07017141751e-25,1.83410455364e-28,165989.135875,0.0,1624684.09321,4575729.58414,526706534.183,9369449.95201,366971127.239,1.0,4708482.25408,1607335.95334,543017307.766,0.0,0.0,0.0,1.0,3.0,0.0,371.0,22.0,562643220.411,9535439.08789,329461365.728,0.0,0.0,132752.669946,16310773.5836,0.0,37509761.5111,532199590.39,1.11517221467e+11,9295890265.3,28436389.4714,20.0
