,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,NumPartInv,NumPartMuertos,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,192455067.028,11554250.2859,58172.8551828,1.4425441825e-29,0.0,49845928.4784,691037.69588,0.0,207778483.578,5282081.77063,46181562.5346,2.0,0.0,183360.005324,214143422.363,0.0,1.0,134.0,8.0,229223952.038,4294548.41656,96027491.013,0.0,6364938.78442,987533.35407,0.0,229435467.467,41342761560.7,2727709334.46,11554250.2859,14.0
0,200112492.469,11997239.9513,2.86581527745e-31,2.59551846975e-29,0.0,0.0,734107.426729,18384042.29,208854101.889,5310672.88407,213549533.81,2.0,18921814.0397,2710185.01346,215176935.264,2.0,3.0,151.0,12.0,238325542.046,4403629.94634,104706147.716,537771.749723,6322833.3756,907042.937732,108843386.094,250561215.671,43692425021.9,2946001951.36,11997239.9513,15.0
0,213028733.738,12764304.9002,8.02341732852e-31,3.4091628158e-20,0.0,54787844.8447,788633.447576,4361768.15052,255334610.661,6039150.15207,58940116.0488,2.0,4482114.27342,0.0,263117927.686,1.0,0.0,158.0,10.0,253700043.414,5066913.29914,113727960.894,120346.122903,7783317.02504,972236.852928,0.0,270265829.443,46225174322.3,3161593106.29,12764304.9002,16.0
0,222894738.32,13365020.5095,1.29178639053e-30,86520769.5166,0.0,0.0,817229.224137,25658568.1079,244902654.869,5760589.54747,519768139.346,2.0,26402983.4761,248750.622512,252409368.949,1.0,1.0,147.0,15.0,265460403.179,5319015.81136,124202036.802,744415.368233,7506714.08089,441573.736108,395566102.544,287229985.413,49342061570.3,3430144288.3,13365020.5095,17.0
0,237519511.046,14244915.5698,4.64870917689e-31,7.13581133371e-29,0.0,91636873.6322,869595.489531,40831328.9111,324704943.038,6641317.97152,43083231.7139,2.0,42052505.0848,943706.732833,334726255.669,2.0,1.0,168.0,18.0,282881378.22,6217442.33156,134720105.346,1221176.17372,10021312.631,423875.639968,0.0,306659582.935,51962402462.5,3681537948.79,14244915.5698,18.0
0,214281383.019,12797437.3862,162854.114202,2.35990813107e-29,141319.626878,0.0,835147.12347,0.0,316520907.777,7486239.78843,261880626.894,2.0,0.0,75545754.4654,326272911.201,0.0,2.0,161.0,21.0,255144742.028,7627559.41531,147753033.606,0.0,9752003.42466,0.0,114127593.288,286716693.73,55792436023.5,4016757640.33,12797437.3862,19.0
0,207032081.263,12439855.7983,475510.29926,1.93102480759e-19,158024.491081,0.0,735080.910428,0.0,293027999.335,7663274.93338,166625811.62,2.0,0.0,2550535.02055,302027116.256,0.0,1.0,150.0,16.0,246597682.091,7821299.42446,161068990.04,0.0,8999116.92169,0.0,5556821.57984,247330920.157,59150405322.4,4337323258.93,12439855.7983,20.0
0,214133177.407,12914970.4548,639159.534387,6.33611275916e-29,404947.538057,0.0,716381.982912,0.0,259352771.494,7615012.89178,180053259.641,2.0,0.0,0.0,267542196.935,0.0,0.0,132.0,31.0,255110278.496,8019960.42984,173411978.407,0.0,8189425.44107,0.0,6641281.2342,254851934.001,62165519105.3,4637678500.85,12914970.4548,21.0
0,223771786.636,13507856.563,584599.851906,2.45398161651e-29,0.0,0.0,736163.599278,0.0,233045955.304,8464336.95404,233472702.352,2.0,0.0,13531353.5192,240175226.521,0.0,4.0,150.0,14.0,266606340.674,8223667.42476,185977044.107,0.0,7129271.21714,240669.529278,47495658.2444,238543306.761,64762809950.6,4890794207.7,13507856.563,22.0
0,231647961.824,13967977.695,907753.072777,1.22092431269e-28,1000322.92249,57421059.7076,776122.34337,0.0,282167989.925,7432225.65486,139843713.054,2.0,0.0,7788697.50632,290749206.751,0.0,5.0,139.0,13.0,275972965.752,8432548.57735,197264772.762,0.0,8581216.82547,0.0,0.0,251099795.983,67565245618.1,5133175977.93,13967977.695,23.0
