,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,NumPartInv,NumPartMuertos,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,236655836.5,14108916.9596,3724752.84788,1.86541310767e-29,0.0,0.0,942315.814845,0.0,383091921.388,16023978.6407,171197761.913,1.0,0.0,4246800.3431,395089100.374,0.0,1.0,142.0,10.0,281758149.954,9841632.67418,94461346.246,0.0,11997178.9857,6182345.96656,76736415.6671,331896113.3,39706583353.1,2699727764.33,14108916.9596,14.0
0,225016924.715,13444786.2443,1640411.10954,1.38931951431e-29,879167.058646,51118379.6087,868347.14147,0.0,303212010.431,9212443.08546,57769703.2802,1.0,0.0,0.0,312581926.272,0.0,0.0,147.0,10.0,267934506.696,10091610.1441,108888082.889,0.0,9369915.84154,0.0,0.0,290923901.586,43232598924.6,3097630643.49,13444786.2443,15.0
0,220748903.109,13182438.0876,3.58400815607e-31,4.50117512788e-29,0.0,0.0,859112.720862,10736647.151,268886460.376,10493171.497,142440081.31,1.0,11037693.8254,0.0,277139154.998,1.0,0.0,151.0,10.0,262844203.592,10347937.0418,120763360.458,301046.674434,8252694.62157,145234.455261,21676720.8513,304152467.344,46464428556.0,3412387167.52,13182438.0876,16.0
0,228068351.579,13621752.4429,6.73699554951e-30,2086558.70773,565586.341828,0.0,885765.054133,3970948.8564,321704328.595,10353881.5608,481757975.485,1.0,4080511.83238,0.0,331868129.981,1.0,0.0,147.0,14.0,271561914.631,10919467.9026,131518788.941,109562.975982,10163801.3865,0.0,350239186.543,330735877.821,49590371551.4,3686414247.9,13621752.4429,17.0
0,223243554.371,13336384.6338,1430193.17867,8.7824035e-30,103296.959234,97398313.948,863541.453934,0.0,301709419.074,11205871.3037,47474145.0081,1.0,0.0,3959956.90676,311017220.538,0.0,2.0,168.0,10.0,265820156.185,11309168.2629,144872458.956,0.0,9307801.46345,0.0,0.0,305618787.587,52517526877.3,4008035658.26,13336384.6338,18.0
0,216878819.641,12946907.0287,1744784.90596,3.23038701317e-29,66886.6098265,0.0,848556.715936,0.0,349003901.474,11529534.5269,329771132.156,1.0,0.0,1254348.31408,360055620.139,0.0,2.0,128.0,14.0,258231153.562,11596421.1368,157079259.363,0.0,11051718.6648,0.0,172691872.793,294627774.051,55524562657.5,4319882301.38,12946907.0287,19.0
0,230471426.72,13862445.5291,2313053.66324,1.26681580723e-29,0.0,39725047.2563,804332.732504,0.0,231913405.834,12241433.9637,131418987.364,1.0,0.0,1217624.35656,238932418.468,0.0,1.0,154.0,21.0,274532440.729,11890970.2336,171144034.62,0.0,7019012.63443,350463.730029,0.0,273043014.829,58336291057.2,4663499659.47,13862445.5291,20.0
0,243095903.677,14598621.2465,2825611.53783,3.0159569336e-29,3100739.94752,0.0,871156.993294,0.0,308680489.364,9092260.93005,218765368.903,1.0,0.0,272603.816759,318259150.113,0.0,1.0,158.0,19.0,289544410.026,12193000.8776,182027077.316,0.0,9578660.74914,0.0,36738291.5872,301243124.075,60803684711.3,4881468369.53,14598621.2465,21.0
0,247376948.4,14862663.8186,2683011.71296,7.80030262189e-29,0.0,0.0,879857.68197,0.0,270967423.17,18969462.2105,347876664.591,1.0,0.0,3695363.9626,279198586.73,0.0,1.0,163.0,24.0,294651249.683,12502703.0999,195332525.225,0.0,8231163.55999,6466759.11065,152544139.366,301142307.117,64086037597.3,5195714906.3,14862663.8186,22.0
0,257514098.564,15459299.9995,1809640.82784,1.74414100926e-26,1729680.07305,101739455.741,928459.266414,0.0,300928930.097,11090591.6855,105580530.721,1.0,0.0,1934084.69874,310468673.888,0.0,5.0,135.0,25.0,306711683.779,12820271.7586,207319986.463,0.0,9539743.79088,0.0,0.0,300828210.483,67137860013.0,5460186152.36,15459299.9995,23.0
